method,pheno,cluster,cases,controls,neff,version,metaset
fixed,N06A,AFR,14021,34482,39865.879818636335,antidep-2501,antidep-2501-fixed-N06A-AFR.vcf.gz
fixed,N06A,AMR,8351,28099,25748.922169584377,antidep-2501,antidep-2501-fixed-N06A-AMR.vcf.gz
fixed,N06A,EAS,4091,179842,15624.636814706224,antidep-2501,antidep-2501-fixed-N06A-EAS.vcf.gz
fixed,N06A,EUR,213129,329556,483572.5560268514,antidep-2501,antidep-2501-fixed-N06A-EUR.vcf.gz
fixed,N06A,MID,340,1069,1023.2605601803825,antidep-2501,antidep-2501-fixed-N06A-MID.vcf.gz
fixed,N06A,SAS,1991,5597,5814.006128095321,antidep-2501,antidep-2501-fixed-N06A-SAS.vcf.gz
fixed,N06AA,AFR,4227,44277,15310.32756552978,antidep-2501,antidep-2501-fixed-N06AA-AFR.vcf.gz
fixed,N06AA,EUR,51117,295841,171785.75639488737,antidep-2501,antidep-2501-fixed-N06AA-EUR.vcf.gz
fixed,N06AA,SAS,1178,6399,3784.8699897929127,antidep-2501,antidep-2501-fixed-N06AA-SAS.vcf.gz
fixed,N06AB,AFR,8276,40228,27437.142977817737,antidep-2501,antidep-2501-fixed-N06AB-AFR.vcf.gz
fixed,N06AB,EUR,65762,281196,210276.80815536773,antidep-2501,antidep-2501-fixed-N06AB-EUR.vcf.gz
fixed,N06AB,MID,202,1202,690.159757191143,antidep-2501,antidep-2501-fixed-N06AB-MID.vcf.gz
fixed,N06AB,SAS,1060,6517,3644.950063739805,antidep-2501,antidep-2501-fixed-N06AB-SAS.vcf.gz
mrmega,N06A,AFR,14021,34482,39865.879818636335,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,AMR,8351,28099,25748.922169584377,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,EAS,4091,179842,15624.636814706224,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,EUR,213129,329556,483572.5560268514,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,MID,340,1069,1023.2605601803825,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,SAS,1991,5597,5814.006128095321,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06AA,AFR,4227,44277,15310.32756552978,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,AMR,2305,33847,8632.145939367118,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,EAS,140,4086,541.4481779460483,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,EUR,51117,295841,171785.75639488737,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,MID,113,419,355.9924812030075,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,SAS,1178,6399,3784.8699897929127,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AB,AFR,8276,40228,27437.142977817737,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,AMR,5203,30949,17816.734565169285,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,EAS,431,3795,1548.173213440606,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,EUR,65762,281196,210276.80815536773,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,MID,202,1202,690.159757191143,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,SAS,1060,6517,3644.950063739805,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06A,DIV,14021,34482,39865.879818636335,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,DIV,8351,28099,25748.922169584377,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,DIV,4091,179842,15624.636814706224,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,DIV,213129,329556,483572.5560268514,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,DIV,340,1069,1023.2605601803825,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06A,DIV,1991,5597,5814.006128095321,antidep-2501,antidep-2501-mrmega-N06A-DIV.vcf.gz
mrmega,N06AA,DIV,4227,44277,15310.32756552978,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,2305,33847,8632.145939367118,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,140,4086,541.4481779460483,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,51117,295841,171785.75639488737,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,113,419,355.9924812030075,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AA,DIV,1178,6399,3784.8699897929127,antidep-2501,antidep-2501-mrmega-N06AA-DIV.vcf.gz
mrmega,N06AB,DIV,8276,40228,27437.142977817737,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,5203,30949,17816.734565169285,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,431,3795,1548.173213440606,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,65762,281196,210276.80815536773,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,202,1202,690.159757191143,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
mrmega,N06AB,DIV,1060,6517,3644.950063739805,antidep-2501,antidep-2501-mrmega-N06AB-DIV.vcf.gz
