p1_meta,p1_version,p1_method,p1_pheno,p1_cluster,p2_meta,p2_version,p2_method,p2_pheno,p2_cluster,pgi,SE,CI,Z,P (Z)
antidep,2501,fixed,N06A,AFR,antidep,2501,fixed,N06A,EUR,2.43266222990866,4.933547855412647,"(-7.237, 12.102)",-0.2903918786025094,0.7715164560937633
antidep,2501,fixed,N06A,AFR,antidep,2501,fixed,N06AA,EUR,2.466182850695487,5.149195679671696,"(-7.626, 12.559)",-0.2847401695149733,0.775843213134999
antidep,2501,fixed,N06A,AFR,antidep,2501,fixed,N06AB,EUR,2.2549004000286477,4.704169103816539,"(-6.965, 11.475)",-0.26676345436020454,0.7896512940351654
antidep,2501,fixed,N06A,AFR,antidep,2501,fixed,N06AB,SAS,6.381563036560322,49.922090394787126,"(-91.466, 104.229)",-0.10779923264435788,0.9141549516051192
antidep,2501,fixed,N06A,EUR,antidep,2501,fixed,N06AA,SAS,2.487466566512329,29.49573397762001,"(-55.324, 60.299)",-0.0504298881879308,0.959779819351034
antidep,2501,fixed,N06A,EUR,antidep,2501,fixed,N06AB,SAS,3.4341248312665615,25.544073939872273,"(-46.632, 53.501)",-0.09529117544038604,0.9240835517372952
antidep,2501,fixed,N06AA,EUR,antidep,2501,fixed,N06AA,SAS,0.2925074158155092,1.9083690529704076,"(-3.448, 4.033)",0.3707315328150323,0.7108375015645533
antidep,2501,fixed,N06AA,EUR,antidep,2501,fixed,N06AB,SAS,0.52796310303934,7.473780577369759,"(-14.121, 15.177)",0.06315905211212175,0.9496398513268052
antidep,2501,fixed,N06AB,AFR,antidep,2501,fixed,N06AB,EUR,1.313560809646083,1.5057049525935728,"(-1.638, 4.265)",-0.208248507854062,0.8350349349364522
antidep,2501,fixed,N06AB,AFR,antidep,2501,fixed,N06AB,SAS,0.7322874849427876,2.4022378534750572,"(-3.976, 5.441)",0.11144296751045768,0.9112650890976168
antidep,2501,fixed,N06AB,EUR,antidep,2501,fixed,N06AB,SAS,3.1404345288806548,45.807022876373686,"(-86.641, 92.922)",-0.04672721330651346,0.9627306409480632
